text,covid_state,hotel_type,senti_ratio,senti_rank
"Foi uma agradável surpresa. Limpeza e instalações do melhor que há.Piscina e atividades no rio são muito boas.Destaque para a simpatia da Juliana.A família ficou rendida, vamos lá voltar de certeza.",Pos-Covid,acampamento,0.749999,Positive
"Onde o dom de bem receber se cruza com a exuberância do Douro. Calma, tranquilidade e  privacidade são sentidas assim que os portões das casas do pousadouro se abrem. O conforto e a elegância, no seu sentido mais genuíno, fazem deste um sítio único, onde nem os pequenos detalhes são esquecidos.",Pos-Covid,acampamento,0.6666656666666666,Positive
"Um spot maravilhoso junto ao rio que nos transporta para outra dimensão. O local ideal para descansar e usufruir da paisagem, das instalações maravilhosas e da simpatia da Filipa e do Staff. Muito bem recebidos o que tornou o fim de semana alargado fantástico . Para voltar com certeza.",Pos-Covid,acampamento,0.999999,Positive
"Recomendo sem dúvida,  sítio maravilhoso, uma vista fantástica,foi mesmo para relaxar e vir com vontade de voltar. Simpatia, disponibilidade de todo o staff tudo perfeito 5☆☆☆☆☆Um cantinho de encantar☺",Pos-Covid,acampamento,0.999999,Positive
"Seriam sempre poucas as palavras para descrever As Casas do Pousadouro, pois mais do que um sítio é todo um ambiente!As Casas do Pousadouro são uma verdadeira experiência para os sentidos. Cheira-se, Vê-se,  Sente-se…e se possível Fica-se…o mais possível!Muitos parabéns a quem idealizou este local de excelência não descurando qualquer pormenor. Não é a minha primeira vez na região do Douro mas sem dúvida a mais memorável e a que me deixou as melhores recordações!Obrigada pela Hospitalidade pois as pessoas que aqui encontramos são a pedra de toque que faz tudo acontecer! Não espero, quero voltar a este sítio que me fez tão feliz!",Pos-Covid,acampamento,0.874999,Positive
"Local maravilhoso para relaxar, hospitalidade a 100%.Natureza como palco principal onde não faltam actividades aquáticas.Pequeno almoço à porta que nos fascina!!Voltar é obrigatório!!! Recomendo vivamente.",Pos-Covid,acampamento,0.999999,Positive
"Super recomendavel. Empregados super atenciosos, espaços limpo, agradável e bastante acolhedor. Paisagem incrível e com muito para disfrutar. Piscina espetacular, jardins muito bem asseados. Nos dias de hoje para quem procura desconectar um bocadinho é o ideal. 5*",Pos-Covid,acampamento,0.874999,Positive
"As Casas de Pousadouro são o local perfeito para sair da rotina e descontrair das responsabilidades diárias. É uma jóia no Vale do Douro e tem vistas panorâmicas de todas as janelas e pontos do jardim. A equipe é muito acolhedora e criou uma atmosfera segura e positiva já na nossa chegada. Eles foram muito úteis com todos os problemas que tivemos e tiveram a gentileza de nos dar muitas recomendações para a nossa estadia. A propriedade em si é impecável e está sendo limpa todos os dias e os quartos e casas são muito elegantes com equipamentos modernos. Também recebemos café da manhã em nossa casa todas as manhãs. No geral, tivemos um tempo maravilhoso nas Casas de Pousadouro e mal podemos esperar pela nossa próxima visita lá! Obrigado!",Pos-Covid,acampamento,0.8571418571428571,Positive
"Quando decidimos passar uns dias no Douro, analisámos hotéis que pudessem oferecer um ambiente calmo mas também algumas atividades junto à piscina. Apesar de ser um pouco caro, não tivemos dúvidas em escolher as Casas de Pousadoro porque tinha tudo: um apartamento exclusivo para si; tem acesso directo ao rio Douro; oferece-lhe a possibilidade de andar de caiaque ou remar no rio; permite-lhe explorar a área do Douro com as suas atracções.Chegar lá não é fácil (estradas estreitas, subidas e descidas; com certeza vai precisar de um GPS), mas isso é uma característica de todos os principais pontos do Douro. Mas uma vez que você está lá, vale a pena a viagem!O local situa-se junto a um pequeno braço do Rio Douro emoldurado por uma paisagem incrível. Caracteriza-se por 3 apartamentos e a casa Amarela, todos rodeados por belos jardins, a piscina, os decks e o pequeno porto privado.Nosso apartamento, a Casa da Pedra, era bem amplo com dois quartos, dois banheiros e um conceito aberto com sala e quitinete. O café da manhã foi servido em uma área privativa no jardim só para nós (cada apartamento tem o seu), com uma vista incrível do rio.A equipe foi muito agradável e eficiente, e fez se sentiu muito bem-vindo.A Casa de Pousadouro é um tesouro na área do Douro, e estamos ansiosos para voltar e passar momentos maravilhosos novamente!",Pos-Covid,acampamento,0.4166656666666667,Neutral
"Adorámos estar no Ermida, estamos perto de tudo, rodeado de silêncio e o pessoal do parque é super simpático e as instalações ótimas, sempre limpas e com papel higiénico.Voltaremos com certeza!! Obrigada por tudo",Pos-Covid,acampamento,0.999999,Positive
"Adorei, sítio fantástico e muito acolhedor 😊 parque de campismo fantástico com excelentes condições Aconselho vivamente a quem quiser visitar o gerês, e aproveitem para usufruir do passeio de jipe feito através do parque de campismo (sr.Carlos)",Pos-Covid,acampamento,0.599999,Positive
Um espaço de tranquilidade e calma... espaços comuns e casa de banho impecáveis... o acolhimento e acompanhamento dos responsáveis foi super acolhedor... muito boa energia e harmonias várias...Uma categoria para uma pessoa se ouvir e quase ouvir as estrelas por entre os sins da noite...,Pos-Covid,acampamento,0.999999,Positive
"Em décadas de campismo foi a maior desilusão. O acesso é uma estrada de vários quilómetros toda em obras, o camping tem pouquíssimas árvores e os alojamentos são minúsculos com colchões de criança. Os bivaques não são maiores que uma tenda e as cabanas encontram-se todas em cima umas das outras, não justificando os preços. Mas o pior foi o atendimento, de uma rudeza e tacanhez enorme. Não recomendo de todo.",Pos-Covid,acampamento,-0.200001,Negative
"Um camping integrado à vida natural do Gerês. Localização excelente para quem quer descobrir inúmeros encantos da região: tanto pontos turísticos tradicionais, como os ‘fora dessa rota’. Para isso, inclusive, indicamos fortemente os passeios de jipe com o Sr. Carlos! A viagem tornou-se definitivamente muito mais rica por conta desses passeios que trazem além da própria condução pelos melhores caminhos aos incríveis destinos, toda riqueza de estórias e curiosidades relacionadas à região e a vida nativa local. Ambiente familiar, muito bem organizado e limpo. Proprietários e funcionários muito simpáticos, gentis e prestativos, que nos fizeram sentir ‚em casa‘ durante nossa estadia. Enfim, nota 10! Ah, estivemos com uma Autocaravan e tínhamos conosco também nosso cachorro. :)",Pos-Covid,acampamento,0.8181808181818182,Positive
O lugar é lindo e muito tropical. As casas de banho SUPER LIMPAS E CHEIROSAS. Tem churrasqueiras e tudo ao pé está extremamente cuidado. As pessoas da Receção são incríveis salientando o melhor guia de sempre: O senhor Carlos e obviamente a sua família.As bífanas e as tostas mistas são ótimas ;) Não encontro nenhum defeito a apontar… só vejo qualidades. Fomos tratados com muito carinho e preocupação por parte do Staff para que a nossa estadia seja bem aproveitada no pouco tempo que tínhamos lá e ainda tiveram o cuidado de nos recomendar sítios maravilhosos para passarmos bem o dia . VIAGEM DE JIPE É INCRÍVEL ASÉRIO! Recomendo a 100%.,Pos-Covid,acampamento,0.8181808181818182,Positive
"Um local de eleição para quem procura paz e sossego. Staff excepcional e muito atencioso. Os WCs encontravam-se incrivelmente limpos e asseados!. Preços acessíveis, pet friendly! Os produtos do bar são bons e com muita qualidade.",Pos-Covid,acampamento,0.999999,Positive
"Parque de campismo muito acolhedor e familiar. Recomendamos que liguem a reservar nos meses de maior afluência, porque o parque costuma estar cheio. Os donos são muito simpáticos e estavam sempre dispostos a ajudar no que fosse preciso.As casas de banho eram limpas bastantes vezes ao dia, estavam sempre imaculadas.Reforçamos a simpatia da senhora do bar, que fazia uns Gins maravilhosos!",Pos-Covid,acampamento,0.999999,Positive
"O camping é bom o espaço é pequeno mas bem organizado, o atendimento é muito simpático. Precisa levar em consideração que não tem supermercado próximo, a água quente é apenas até as 21:30 e durante a noite não tem papel higienico nem papel toalha nos banheiros. De modo geral é um bom lugar.",Pos-Covid,acampamento,0.799999,Positive
"Além do sítio mesmo, importa salientar a simplicidade e a disponibilidade do pessoal. O Carlos, a Cinda, a Vera e o José são seres humanos acolhedores e adoráveis. Muito obrigado! Felicidade e sucesso para vocês!",Pos-Covid,acampamento,0.499999,Neutral
"Parque de Campismo pequeno, bem estruturado,  com zona para tendas plana e muita sombra. Núcleo de instalações sanitárias, chuveiros, lava-loiça e tratamento de roupa sempre limpo e bem cuidado.Funcionários extremamente atenciosos. Boa localização para explorar cascatas, miradouros e montanha.Acessivel a pessoas com mobilidade reduzida, no entanto a rampa de acesso à área de tendas é a de acesso automóvel com desnivel algo acentuado. Área de mesas acessível apenas por escadaria.",Pos-Covid,acampamento,0.2857132857142857,Neutral
"Excelente experiência de campismo. O parque é de dimensões pequenas o que o torna aconchegante. A opção por ficar numa Cabana foi ideal. A limpeza dos espaços comuns é extremamente cuidada. Todo o staff é super simpático e acessível. O local fica próximo da cascata de Tahiti, da cascata em Pincães, e dos miradouros da Pedra Bela e do arado.Beatriz Patrão, Coimbra",Pos-Covid,acampamento,0.999999,Positive
